"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Panama",6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,2016,"LatinAmerica",5.96315307474366,0.737846925256339
"Argentina",6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,2016,"LatinAmerica",5.89439264938976,0.755607350610245
"Czech Republic",6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2016,"Other",6.23674102150522,0.359258978494778
"United Arab Emirates",6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,2016,"MiddleEast",6.81036657059995,-0.237366570599947
"Uruguay",6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2016,"LatinAmerica",5.95992009797568,0.58507990202432
"Malta",6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,2016,"Other",6.23385521002776,0.254144789972238
"Colombia",6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,2016,"LatinAmerica",5.63174040927962,0.84925959072038
"France",6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2016,"WesternEurope",6.42275652373275,0.0552434762672531
"Thailand",6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2016,"Other",5.75971421449809,0.714285785501911
"Saudi Arabia",6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2016,"MiddleEast",6.62812649090684,-0.249126490906844
"Taiwan",6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2016,"EastAsia",6.42798570092123,-0.0489857009212269
"Qatar",6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,2016,"MiddleEast",7.35443967433904,-0.979439674339035
"Spain",6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,2016,"WesternEurope",6.30916838024026,0.0518316197597404
"Algeria",6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,2016,"Other",5.68021336296868,0.674786637031323
"Guatemala",6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,2016,"LatinAmerica",5.20694028066531,1.11705971933469
"Suriname",6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,2016,"Other",5.77611777447523,0.492882225524772
